player,pos_cluster_calc,ws_per_48_calc,bpm_calc,ts_pct_calc,fg_pct_calc,fg3_pct_calc,pts_per_36_calc,stl_pct_calc,trb_pct_calc,blk_pct_calc,mps_calc,ast_pct_calc,allstar_pct_calc,sum_mp,start_age,end_age,avg_age,player_height,player_weight,team_id,draft_year,draft_number,draft_round,stand_jump,max_jump,court_sprint,lane_agility,bench_press,usg_pct_calc,orb_pct_calc,drb_pct_calc,net_rating_calc,career_years,all_star_total,score_guard,score_wing,score_big,score_nach_cluster,success_score,d_group,avg_score_d_group,score_d_group_diff,avg_score_d_number,score_d_number_diff
Casey Jacobsen,Wing,0.05599210526315789,-2.230921052631579,0.5346541353383458,0.39510000000000006,0.36008815789473686,10.063759398496241,0.012153947368421054,0.05528834586466166,0.003353571428571429,1330.0,0.0874233082706767,0.0,5320.0,21.0,26.0,23.0,198.12,97.52228,PHO,2002,22,1,,,,,,0.13616165413533834,0.024873684210526315,0.08604097744360903,-0.2321616541353385,4,0,31.95,32.04,30.51,32.04,32.04,3,38.37348242811502,-6.333482428115019,37.08689655172414,-5.046896551724139
Casper Ware,Guard,0.071,-2.4,0.538,0.42899999999999994,0.333,14.803448275862067,0.033,0.041999999999999996,0.0,116.0,0.13699999999999998,0.0,116.0,24.0,24.0,24.0,177.8,79.3786,PHI,Undrafted,61,Undrafted,,,,,,0.18100000000000002,0.0,0.087,1.0,1,0,32.23,33.59,26.6,32.23,33.59,7,32.88851913477537,0.7014808652246316,32.88851913477537,0.7014808652246316
Cassius Stanley,Guard,-0.005625,-7.824999999999999,0.466125,0.371375,0.2335,12.803225806451612,0.011875,0.085125,0.013875000000000002,124.0,0.029625,0.0,248.0,21.0,22.0,21.5,195.58,86.18248,DET,2020,54,2,34.5,44.0,3.09,11.4,,0.18,0.055875,0.1165,0.8375000000000001,2,0,22.35,24.72,24.52,22.35,24.72,6,33.73416,-9.014160000000004,33.626,-8.905999999999999
Cassius Winston,Guard,0.05148175182481752,-4.936496350364964,0.5675985401459853,0.4069197080291971,0.43171532846715327,14.662773722627737,0.006437956204379563,0.03903649635036497,0.006437956204379563,68.5,0.18605839416058395,0.0,137.0,22.0,23.0,22.5,185.42,83.91452,WAS,2020,53,2,24.0,28.0,3.61,11.15,,0.1742773722627737,0.0,0.07735766423357664,-16.275912408759122,2,0,32.42,25.91,25.47,32.42,32.42,6,33.73416,-1.314160000000001,33.76357142857143,-1.3435714285714297
Cedi Osman,Wing,0.043617404351087775,-2.4100025006251564,0.5391390347586896,0.42508502125531383,0.3517544386096524,14.6768192048012,0.014854463615903977,0.0733675918979745,0.0052708177044261065,1333.0,0.13117779444861213,0.0,7998.0,22.0,28.0,24.666666666666668,201.50666666666666,102.0582,CLE,2015,31,2,,,,,,0.18675543885971493,0.022813453363340834,0.1260207551887972,-8.138784696174044,6,0,36.11,34.96,33.33,34.96,36.11,4,35.330078125,0.7799218749999994,33.6573076923077,2.4526923076923026
Cedric Bozeman,Guard,-0.077,-7.3,0.312,0.282,0.154,4.5768844221105525,0.013000000000000001,0.07,0.008,199.0,0.069,0.0,199.0,23.0,23.0,23.0,198.12,93.893544,ATL,Undrafted,61,Undrafted,,,,,,0.11699999999999999,0.018000000000000002,0.12300000000000003,-5.2,1,0,14.97,18.33,17.19,14.97,18.33,7,32.88851913477537,-14.558519134775374,32.88851913477537,-14.558519134775374
Cedric Ceballos,Wing,0.13198545405111473,0.6952963567156064,0.5594202691680261,0.5007667210440456,0.23250890429581297,21.246655791190864,0.015578779227841217,0.12440334420880914,0.008220500271886895,1337.4545454545455,0.08293155247417074,0.09090909090909091,14712.0,21.0,31.0,26.0,200.15200000000002,97.52228,PHO,1990,48,2,,,,,,0.2592298803697662,0.09703031538879826,0.15144915715062532,-0.23908374116367592,11,1,45.11,46.02,45.65,46.02,46.02,5,35.637464788732395,10.382535211267609,35.28809523809524,10.731904761904765
Cedric Henderson,Wing,0.025603688126819797,-2.871853769006794,0.47260126172759626,0.4353979294726626,0.07807068909737949,10.977612423164025,0.01953720478809447,0.07402863151083793,0.01374037528307991,1236.4,0.11793820769977355,0.0,6182.0,22.0,26.0,24.0,200.66,101.151016,CLE,1997,44,2,,,,,,0.17841135554836624,0.03346522161112909,0.11393788417987706,-1.526108055645422,5,0,31.19,32.77,30.47,32.77,32.77,5,35.637464788732395,-2.8674647887323914,34.30882352941177,-1.538823529411765
Cedric Jackson,Guard,-0.111,-6.8,0.396,0.3,0.167,9.924324324324322,0.021,0.063,0.019,74.0,0.271,0.0,74.0,23.0,23.0,23.0,190.5,86.18248,TOT,Undrafted,61,Undrafted,,,,,,0.22399999999999995,0.031,0.094,-1.3,1,0,24.55,21.7,19.03,24.55,24.55,7,32.88851913477537,-8.338519134775371,32.88851913477537,-8.338519134775371
Cedric Simmons,Big,0.005021276595744681,-4.981276595744681,0.4064553191489362,0.40357446808510633,,8.267234042553191,0.008255319148936171,0.115531914893617,0.03547659574468086,235.0,0.03115744680851064,0.0,705.0,21.0,23.0,22.0,205.74,106.59412000000002,TOT,2006,15,1,30.5,35.0,3.31,11.05,15.0,0.1461872340425532,0.08804255319148938,0.143268085106383,-11.248510638297871,3,0,20.78,25.25,27.74,27.74,27.74,2,40.05011976047904,-12.310119760479044,39.976451612903226,-12.236451612903227
Cezary Trybanski,Big,-0.2171881188118812,-13.529702970297029,0.25952475247524753,0.21287128712871287,,5.061386138613861,0.005346534653465347,0.08398019801980197,0.0482970297029703,50.5,0.013623762376237625,0.0,101.0,23.0,24.0,23.5,218.44,108.86208,MEM,Undrafted,61,Undrafted,,,,,,0.17594059405940593,0.06811881188118812,0.098990099009901,-17.44158415841584,2,0,6.05,9.8,12.82,12.82,12.82,7,32.88851913477537,-20.06851913477537,32.88851913477537,-20.06851913477537
Chandler Hutchison,Wing,0.03025474860335195,-3.9024022346368716,0.5060748603351956,0.4434513966480447,0.30339441340782125,11.240446927374302,0.016453072625698326,0.11415698324022347,0.009146927374301677,447.5,0.06175474860335196,0.0,1790.0,22.0,25.0,23.5,199.39,93.780146,CHI,2018,22,1,,,,,,0.15020614525139664,0.03277150837988827,0.19863072625698322,-6.973128491620112,4,0,26.99,31.46,30.67,31.46,31.46,3,38.37348242811502,-6.913482428115017,37.08689655172414,-5.626896551724137
